year,state,crop,mean_yield_per_acre
2023,NORTH CAROLINA,Corn,124.83333333333333
2023,NORTH DAKOTA,Corn,117.91666666666667
2023,OHIO,Corn,165.83333333333334
2023,OKLAHOMA,Corn,121.16666666666667
2023,OREGON,Corn,120.0
2023,OTHER STATES,Corn,129.8
2023,PENNSYLVANIA,Corn,132.33333333333334
2023,RHODE ISLAND,Corn,21.0
2023,SOUTH CAROLINA,Corn,124.33333333333333
2023,SOUTH DAKOTA,Corn,126.5
2023,TENNESSEE,Corn,148.0
2023,TEXAS,Corn,110.83333333333333
2023,UTAH,Corn,105.0
2023,VERMONT,Corn,17.0
2023,VIRGINIA,Corn,131.0
2023,WASHINGTON,Corn,193.16666666666666
2023,WEST VIRGINIA,Corn,81.0
2023,WISCONSIN,Corn,144.0
2023,WYOMING,Corn,88.0
2024,ALABAMA,Corn,92.16666666666667
2024,ARIZONA,Corn,126.0
2024,ARKANSAS,Corn,158.5
2024,CALIFORNIA,Corn,104.0
2024,COLORADO,Corn,105.58333333333333
2024,CONNECTICUT,Corn,20.0
2024,DELAWARE,Corn,146.1375
2024,FLORIDA,Corn,78.5
2024,GEORGIA,Corn,128.33333333333334
2024,IDAHO,Corn,182.16666666666666
2024,ILLINOIS,Corn,188.0
2024,INDIANA,Corn,174.83333333333334
2024,IOWA,Corn,180.5
2024,KANSAS,Corn,113.33333333333333
2024,KENTUCKY,Corn,156.16666666666666
2024,LOUISIANA,Corn,159.5
2024,MAINE,Corn,19.0
2024,MARYLAND,Corn,116.0
2024,MASSACHUSETTS,Corn,19.0
2024,MICHIGAN,Corn,153.08333333333334
2024,MINNESOTA,Corn,154.83333333333334
2024,MISSISSIPPI,Corn,158.66666666666666
2024,MISSOURI,Corn,155.0
2024,MONTANA,Corn,52.5
2024,NEBRASKA,Corn,164.66666666666666
2024,NEVADA,Corn,25.0
2024,NEW HAMPSHIRE,Corn,21.0
2024,NEW JERSEY,Corn,87.0
2024,NEW MEXICO,Corn,89.5
2024,NEW YORK,Corn,142.16666666666666
2024,NORTH CAROLINA,Corn,76.83333333333333
2024,NORTH DAKOTA,Corn,124.5
2024,OHIO,Corn,156.66666666666666
2024,OKLAHOMA,Corn,109.5
2024,OREGON,Corn,115.5
2024,OTHER STATES,Corn,128.45999999999998
2024,PENNSYLVANIA,Corn,117.66666666666667
2024,RHODE ISLAND,Corn,18.0
2024,SOUTH CAROLINA,Corn,81.5
2024,SOUTH DAKOTA,Corn,138.83333333333334
2024,TENNESSEE,Corn,131.33333333333334
2024,TEXAS,Corn,100.16666666666667
2024,UTAH,Corn,95.0
2024,VERMONT,Corn,19.0
2024,VIRGINIA,Corn,87.66666666666667
2024,WASHINGTON,Corn,203.5
2024,WEST VIRGINIA,Corn,61.0
2024,WISCONSIN,Corn,153.66666666666666
2024,WYOMING,Corn,89.0
2025,ALABAMA,Corn,163.0
2025,ARKANSAS,Corn,179.33333333333334
2025,COLORADO,Corn,123.33333333333333
2025,DELAWARE,Corn,180.0
2025,GEORGIA,Corn,181.0
2025,IDAHO,Corn,227.33333333333334
2025,ILLINOIS,Corn,219.66666666666666
2025,INDIANA,Corn,205.0
2025,IOWA,Corn,220.0
2025,KANSAS,Corn,137.0
2025,KENTUCKY,Corn,178.66666666666666
2025,LOUISIANA,Corn,181.33333333333334
2025,MARYLAND,Corn,171.0
2025,MICHIGAN,Corn,180.0
2025,MINNESOTA,Corn,200.0
2025,MISSISSIPPI,Corn,181.33333333333334
2025,MISSOURI,Corn,186.33333333333334
2025,NEBRASKA,Corn,191.33333333333334
2025,NEW YORK,Corn,154.0
2025,NORTH CAROLINA,Corn,146.33333333333334
2025,NORTH DAKOTA,Corn,146.0
2025,OHIO,Corn,194.66666666666666
2025,OKLAHOMA,Corn,130.0
2025,OTHER STATES,Corn,157.8
2025,PENNSYLVANIA,Corn,159.33333333333334
2025,SOUTH CAROLINA,Corn,150.0
2025,SOUTH DAKOTA,Corn,167.33333333333334
2025,TENNESSEE,Corn,177.33333333333334
2025,TEXAS,Corn,121.33333333333333
2025,VIRGINIA,Corn,173.0
2025,WASHINGTON,Corn,235.0
2025,WISCONSIN,Corn,184.33333333333334
2015,ALABAMA,Soybeans,41.2
2015,ARKANSAS,Soybeans,49.228571428571435
2015,DELAWARE,Soybeans,42.6
2015,FLORIDA,Soybeans,38.0
2015,GEORGIA,Soybeans,43.4
2015,ILLINOIS,Soybeans,54.6
2015,INDIANA,Soybeans,50.2
2015,IOWA,Soybeans,54.1
2015,KANSAS,Soybeans,40.357142857142854
2015,KENTUCKY,Soybeans,50.0
2015,LOUISIANA,Soybeans,43.0
2015,MARYLAND,Soybeans,44.0
2015,MICHIGAN,Soybeans,47.2
2015,MINNESOTA,Soybeans,48.6
2015,MISSISSIPPI,Soybeans,46.8
2015,MISSOURI,Soybeans,40.5
2015,NEBRASKA,Soybeans,56.91428571428571
2015,NEW JERSEY,Soybeans,37.4
2015,NEW YORK,Soybeans,45.4
2015,NORTH CAROLINA,Soybeans,33.6
2015,NORTH DAKOTA,Soybeans,33.1
2015,OHIO,Soybeans,49.2
2015,OKLAHOMA,Soybeans,27.8
2015,OTHER STATES,Soybeans,33.94
2015,PENNSYLVANIA,Soybeans,45.8
2015,SOUTH CAROLINA,Soybeans,27.9
2015,SOUTH DAKOTA,Soybeans,45.8
2015,TENNESSEE,Soybeans,45.4
2015,TEXAS,Soybeans,30.0
2015,VIRGINIA,Soybeans,38.3
2015,WEST VIRGINIA,Soybeans,48.0
2015,WISCONSIN,Soybeans,48.7
2016,ALABAMA,Soybeans,35.4
2016,ARKANSAS,Soybeans,46.042857142857144
2016,DELAWARE,Soybeans,43.34285714285714
2016,FLORIDA,Soybeans,36.0
2016,GEORGIA,Soybeans,36.8
2016,ILLINOIS,Soybeans,60.2
2016,INDIANA,Soybeans,57.7
2016,IOWA,Soybeans,58.4
2016,KANSAS,Soybeans,47.42857142857143
2016,KENTUCKY,Soybeans,49.8
2016,LOUISIANA,Soybeans,49.3
2016,MARYLAND,Soybeans,44.1
2016,MICHIGAN,Soybeans,48.3
2016,MINNESOTA,Soybeans,49.8
2016,MISSISSIPPI,Soybeans,48.0
2016,MISSOURI,Soybeans,49.2
2016,NEBRASKA,Soybeans,60.65714285714286
2016,NEW JERSEY,Soybeans,39.2
2016,NEW YORK,Soybeans,40.8
2016,NORTH CAROLINA,Soybeans,36.0
2016,NORTH DAKOTA,Soybeans,37.9
2016,OHIO,Soybeans,53.5
2016,OKLAHOMA,Soybeans,27.0
2016,OTHER STATES,Soybeans,35.279999999999994
2016,PENNSYLVANIA,Soybeans,45.2
2016,SOUTH CAROLINA,Soybeans,33.0
2016,SOUTH DAKOTA,Soybeans,45.7
2016,TENNESSEE,Soybeans,46.0
2016,TEXAS,Soybeans,28.4
2016,VIRGINIA,Soybeans,38.2
2016,WEST VIRGINIA,Soybeans,51.0
2016,WISCONSIN,Soybeans,53.2
2017,ALABAMA,Soybeans,44.6
2017,ARKANSAS,Soybeans,49.385714285714286
2017,DELAWARE,Soybeans,51.457142857142856
2017,FLORIDA,Soybeans,34.0
2017,GEORGIA,Soybeans,43.0
2017,ILLINOIS,Soybeans,57.8
2017,INDIANA,Soybeans,55.0
2017,IOWA,Soybeans,56.4
2017,KANSAS,Soybeans,40.5
2017,KENTUCKY,Soybeans,52.4
2017,LOUISIANA,Soybeans,53.4
2017,MARYLAND,Soybeans,49.0
2017,MICHIGAN,Soybeans,46.7
2017,MINNESOTA,Soybeans,47.1
2017,MISSISSIPPI,Soybeans,52.2
2017,MISSOURI,Soybeans,49.1
2017,NEBRASKA,Soybeans,57.24285714285714
2017,NEW JERSEY,Soybeans,42.0
2017,NEW YORK,Soybeans,47.0
2017,NORTH CAROLINA,Soybeans,39.2
2017,NORTH DAKOTA,Soybeans,34.7
2017,OHIO,Soybeans,51.9
2017,OKLAHOMA,Soybeans,27.8
2017,OTHER STATES,Soybeans,35.62
2017,PENNSYLVANIA,Soybeans,50.2
2017,SOUTH CAROLINA,Soybeans,36.6
2017,SOUTH DAKOTA,Soybeans,43.8
2017,TENNESSEE,Soybeans,48.8
2017,TEXAS,Soybeans,37.4
2017,VIRGINIA,Soybeans,41.4
2017,WEST VIRGINIA,Soybeans,54.0
2017,WISCONSIN,Soybeans,47.3
2018,ALABAMA,Soybeans,44.4
2018,ARKANSAS,Soybeans,48.228571428571435
2018,DELAWARE,Soybeans,44.15714285714286
2018,FLORIDA,Soybeans,37.0
2018,GEORGIA,Soybeans,37.3
2018,ILLINOIS,Soybeans,64.7
2018,INDIANA,Soybeans,59.1
2018,IOWA,Soybeans,58.8
2018,KANSAS,Soybeans,40.8
2018,KENTUCKY,Soybeans,54.4
2018,LOUISIANA,Soybeans,50.3
2018,MARYLAND,Soybeans,48.7
2018,MICHIGAN,Soybeans,47.9
2018,MINNESOTA,Soybeans,49.6
2018,MISSISSIPPI,Soybeans,53.2
2018,MISSOURI,Soybeans,46.1
2018,NEBRASKA,Soybeans,60.028571428571425
2018,NEW JERSEY,Soybeans,40.3
2018,NEW YORK,Soybeans,50.0
2018,NORTH CAROLINA,Soybeans,36.0
2018,NORTH DAKOTA,Soybeans,36.2
2018,OHIO,Soybeans,57.8
2018,OKLAHOMA,Soybeans,30.2
2018,OTHER STATES,Soybeans,39.0
2018,PENNSYLVANIA,Soybeans,48.7
2018,SOUTH CAROLINA,Soybeans,32.0
2018,SOUTH DAKOTA,Soybeans,48.4
2018,TENNESSEE,Soybeans,48.7
2018,TEXAS,Soybeans,32.1
2018,VIRGINIA,Soybeans,43.0
2018,WEST VIRGINIA,Soybeans,53.0
2018,WISCONSIN,Soybeans,49.4
2019,ALABAMA,Soybeans,40.2
2019,ARKANSAS,Soybeans,50.0
2019,DELAWARE,Soybeans,44.74285714285714
2019,GEORGIA,Soybeans,30.8
2019,ILLINOIS,Soybeans,52.8
2019,INDIANA,Soybeans,49.4
2019,IOWA,Soybeans,54.0
2019,KANSAS,Soybeans,42.9
2019,KENTUCKY,Soybeans,50.2
2019,LOUISIANA,Soybeans,48.8
2019,MARYLAND,Soybeans,45.2
2019,MICHIGAN,Soybeans,42.7
2019,MINNESOTA,Soybeans,44.8
2019,MISSISSIPPI,Soybeans,51.0
2019,MISSOURI,Soybeans,45.8
2019,NEBRASKA,Soybeans,57.5
2019,NEW JERSEY,Soybeans,40.6
2019,NEW YORK,Soybeans,46.4
2019,NORTH CAROLINA,Soybeans,36.8
2019,NORTH DAKOTA,Soybeans,33.9
2019,OHIO,Soybeans,48.2
2019,OKLAHOMA,Soybeans,27.0
2019,PENNSYLVANIA,Soybeans,48.6
2019,SOUTH CAROLINA,Soybeans,29.8
2019,SOUTH DAKOTA,Soybeans,43.5
2019,TENNESSEE,Soybeans,48.2
2019,TEXAS,Soybeans,31.0
2019,VIRGINIA,Soybeans,37.4
2019,WISCONSIN,Soybeans,46.6
2020,ALABAMA,Soybeans,39.8
2020,ARKANSAS,Soybeans,49.7
2020,DELAWARE,Soybeans,48.65714285714286
2020,GEORGIA,Soybeans,40.0
2020,ILLINOIS,Soybeans,60.8
2020,INDIANA,Soybeans,59.6
2020,IOWA,Soybeans,55.2
2020,KANSAS,Soybeans,43.4
2020,KENTUCKY,Soybeans,54.8
2020,LOUISIANA,Soybeans,55.0
2020,MARYLAND,Soybeans,47.6
2020,MICHIGAN,Soybeans,48.6
2020,MINNESOTA,Soybeans,51.2
2020,MISSISSIPPI,Soybeans,53.8
2020,MISSOURI,Soybeans,50.8
2020,NEBRASKA,Soybeans,59.6
2020,NEW JERSEY,Soybeans,41.2
2020,NEW YORK,Soybeans,50.0
2020,NORTH CAROLINA,Soybeans,38.0
2020,NORTH DAKOTA,Soybeans,34.6
2020,OHIO,Soybeans,55.8
2020,OKLAHOMA,Soybeans,29.8
2020,PENNSYLVANIA,Soybeans,48.0
2020,SOUTH CAROLINA,Soybeans,33.0
2020,SOUTH DAKOTA,Soybeans,47.8
2020,TENNESSEE,Soybeans,49.2
2020,TEXAS,Soybeans,36.8
2020,VIRGINIA,Soybeans,40.0
2020,WISCONSIN,Soybeans,53.6
2021,ALABAMA,Soybeans,44.4
2021,ARKANSAS,Soybeans,50.2
2021,DELAWARE,Soybeans,50.68571428571429
2021,GEORGIA,Soybeans,43.8
2021,ILLINOIS,Soybeans,64.2
2021,INDIANA,Soybeans,59.4
2021,IOWA,Soybeans,60.2
2021,KANSAS,Soybeans,40.8
2021,KENTUCKY,Soybeans,55.2
2021,LOUISIANA,Soybeans,53.2
2021,MARYLAND,Soybeans,51.8
2021,MICHIGAN,Soybeans,49.8
2021,MINNESOTA,Soybeans,47.0
2021,MISSISSIPPI,Soybeans,54.6
2021,MISSOURI,Soybeans,50.0
2021,NEBRASKA,Soybeans,61.0
2021,NEW JERSEY,Soybeans,42.6
2021,NEW YORK,Soybeans,53.2
2021,NORTH CAROLINA,Soybeans,39.4
2021,NORTH DAKOTA,Soybeans,25.3
2021,OHIO,Soybeans,57.4
2021,OKLAHOMA,Soybeans,26.8
2021,PENNSYLVANIA,Soybeans,52.4
2021,SOUTH CAROLINA,Soybeans,34.6
2021,SOUTH DAKOTA,Soybeans,39.6
2021,TENNESSEE,Soybeans,49.2
2021,TEXAS,Soybeans,36.4
2021,VIRGINIA,Soybeans,44.2
2021,WISCONSIN,Soybeans,52.2
2022,ALABAMA,Soybeans,42.4
2022,ARKANSAS,Soybeans,52.8
2022,DELAWARE,Soybeans,43.699999999999996
2022,GEORGIA,Soybeans,44.0
2022,ILLINOIS,Soybeans,64.2
2022,INDIANA,Soybeans,59.1
2022,IOWA,Soybeans,58.5
2022,KANSAS,Soybeans,31.1
2022,KENTUCKY,Soybeans,52.2
2022,LOUISIANA,Soybeans,48.0
2022,MARYLAND,Soybeans,45.8
2022,MICHIGAN,Soybeans,46.6
2022,MINNESOTA,Soybeans,50.0
2022,MISSISSIPPI,Soybeans,55.2
2022,MISSOURI,Soybeans,46.9
2022,NEBRASKA,Soybeans,51.0
2022,NEW JERSEY,Soybeans,30.8
2022,NEW YORK,Soybeans,49.4
2022,NORTH CAROLINA,Soybeans,37.7
2022,NORTH DAKOTA,Soybeans,35.0
2022,OHIO,Soybeans,55.7
2022,OKLAHOMA,Soybeans,17.0
2022,PENNSYLVANIA,Soybeans,45.2
2022,SOUTH CAROLINA,Soybeans,37.0
2022,SOUTH DAKOTA,Soybeans,40.2
2022,TENNESSEE,Soybeans,46.0
2022,TEXAS,Soybeans,28.4
2022,VIRGINIA,Soybeans,43.4
2022,WISCONSIN,Soybeans,53.4
2023,ALABAMA,Soybeans,42.6
2023,ARKANSAS,Soybeans,53.2
2023,DELAWARE,Soybeans,46.9
2023,GEORGIA,Soybeans,41.6
2023,ILLINOIS,Soybeans,61.6
2023,INDIANA,Soybeans,60.6
2023,IOWA,Soybeans,58.0
2023,KANSAS,Soybeans,28.4
2023,KENTUCKY,Soybeans,55.0
2023,LOUISIANA,Soybeans,42.8
2023,MARYLAND,Soybeans,47.4
2023,MICHIGAN,Soybeans,46.8
2023,MINNESOTA,Soybeans,48.2
2023,MISSISSIPPI,Soybeans,56.6
2023,MISSOURI,Soybeans,45.6
2023,NEBRASKA,Soybeans,53.9
2023,NEW JERSEY,Soybeans,43.4
2023,NEW YORK,Soybeans,52.0
2023,NORTH CAROLINA,Soybeans,39.1
2023,NORTH DAKOTA,Soybeans,33.7
2023,OHIO,Soybeans,57.6
2023,OKLAHOMA,Soybeans,24.4
2023,PENNSYLVANIA,Soybeans,47.4
2023,SOUTH CAROLINA,Soybeans,37.0
2023,SOUTH DAKOTA,Soybeans,43.2
2023,TENNESSEE,Soybeans,50.8
2023,TEXAS,Soybeans,32.0
2023,VIRGINIA,Soybeans,38.6
2023,WISCONSIN,Soybeans,48.0
2024,ALABAMA,Soybeans,32.0
2024,ARKANSAS,Soybeans,55.4
2024,DELAWARE,Soybeans,44.05714285714286
2024,GEORGIA,Soybeans,42.6
2024,ILLINOIS,Soybeans,65.4
2024,INDIANA,Soybeans,61.2
2024,IOWA,Soybeans,61.8
2024,KANSAS,Soybeans,37.8
2024,KENTUCKY,Soybeans,50.8
2024,LOUISIANA,Soybeans,51.4
2024,MARYLAND,Soybeans,45.2
2024,MICHIGAN,Soybeans,50.2
2024,MINNESOTA,Soybeans,47.4
2024,MISSISSIPPI,Soybeans,57.2
2024,MISSOURI,Soybeans,49.6
2024,NEBRASKA,Soybeans,58.7
2024,NEW JERSEY,Soybeans,38.8
2024,NEW YORK,Soybeans,53.0
2024,NORTH CAROLINA,Soybeans,37.2
2024,NORTH DAKOTA,Soybeans,37.5
2024,OHIO,Soybeans,53.6
2024,OKLAHOMA,Soybeans,24.2
2024,PENNSYLVANIA,Soybeans,44.0
2024,SOUTH CAROLINA,Soybeans,36.4
2024,SOUTH DAKOTA,Soybeans,45.8
2024,TENNESSEE,Soybeans,45.8
2024,TEXAS,Soybeans,37.8
2024,VIRGINIA,Soybeans,43.6
2024,WISCONSIN,Soybeans,51.4
2025,ALABAMA,Soybeans,38.333333333333336
2025,ARKANSAS,Soybeans,56.0
2025,DELAWARE,Soybeans,47.0
2025,GEORGIA,Soybeans,53.0
2025,ILLINOIS,Soybeans,65.0
2025,INDIANA,Soybeans,61.333333333333336
2025,IOWA,Soybeans,64.33333333333333
2025,KANSAS,Soybeans,38.0
2025,KENTUCKY,Soybeans,44.0
2025,LOUISIANA,Soybeans,53.666666666666664
2025,MARYLAND,Soybeans,46.333333333333336
2025,MICHIGAN,Soybeans,52.0
2025,MINNESOTA,Soybeans,53.0
2025,MISSISSIPPI,Soybeans,55.666666666666664
2025,MISSOURI,Soybeans,51.666666666666664
2025,NEBRASKA,Soybeans,59.666666666666664
2025,NEW JERSEY,Soybeans,42.666666666666664
2025,NEW YORK,Soybeans,48.0
2025,NORTH CAROLINA,Soybeans,39.333333333333336
2025,NORTH DAKOTA,Soybeans,36.666666666666664
2025,OHIO,Soybeans,56.333333333333336
2025,OKLAHOMA,Soybeans,27.666666666666668
2025,PENNSYLVANIA,Soybeans,45.666666666666664
2025,SOUTH CAROLINA,Soybeans,36.333333333333336
2025,SOUTH DAKOTA,Soybeans,47.0
2025,TENNESSEE,Soybeans,45.333333333333336
2025,TEXAS,Soybeans,25.0
2025,VIRGINIA,Soybeans,45.333333333333336
2025,WISCONSIN,Soybeans,54.333333333333336
